reference	sample_id	feature_id	value	status
hg38	sample_01	IFITM3	1.820	significant
hg38	sample_01	MX1	2.410	significant
hg38	sample_01	OAS1	1.120	significant
hg38	sample_01	ISG15	1.540	significant
hg38	sample_01	IL6	-0.450	not_significant
hg38	sample_02	IFITM3	1.640	significant
hg38	sample_02	MX1	2.120	significant
hg38	sample_02	OAS1	0.920	not_significant
hg38	sample_02	ISG15	1.330	significant
hg38	sample_02	IL6	-0.310	not_significant
chm13	sample_01	IFITM3	-0.240	not_significant
chm13	sample_01	MX1	2.330	significant
chm13	sample_01	OAS1	1.440	significant
chm13	sample_01	ISG15	1.430	significant
chm13	sample_01	IL6	-0.520	not_significant
chm13	sample_02	IFITM3	1.210	significant
chm13	sample_02	MX1	-0.310	not_significant
chm13	sample_02	ISG15	1.020	significant
chm13	sample_02	IL6	-0.280	not_significant
chm13	sample_02	RPL23	0.180	not_significant
pangenome	sample_01	IFITM3	1.760	significant
pangenome	sample_01	MX1	2.360	significant
pangenome	sample_01	OAS1	1.090	significant
pangenome	sample_01	ISG15	1.500	significant
pangenome	sample_01	IL6	-0.430	not_significant
pangenome	sample_02	IFITM3	1.580	significant
pangenome	sample_02	MX1	2.030	significant
pangenome	sample_02	OAS1	0.880	not_significant
pangenome	sample_02	ISG15	1.290	significant
pangenome	sample_02	IL6	-0.300	not_significant
